# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
219             	1.75418554e+01	4.68038626e+03	5.33610739e+00
220             	1.75209807e+01	4.67980661e+03	5.33986555e+00
221             	1.75004622e+01	4.67922407e+03	5.34340452e+00
222             	1.74709876e+01	4.67872456e+03	5.34669643e+00
223             	1.74375054e+01	4.67820543e+03	5.34970602e+00
224             	1.74059500e+01	4.67769745e+03	5.35241303e+00
225             	1.73749380e+01	4.67720144e+03	5.35518671e+00
226             	1.73365127e+01	4.67673911e+03	5.35763050e+00
227             	1.72968048e+01	4.67625008e+03	5.35972727e+00
228             	1.72565234e+01	4.67581709e+03	5.36146873e+00
229             	1.72158613e+01	4.67542474e+03	5.36284879e+00
230             	1.71747825e+01	4.67496612e+03	5.36386729e+00
231             	1.71339245e+01	4.67457579e+03	5.36452920e+00
232             	1.70928938e+01	4.67418191e+03	5.36516702e+00
233             	1.70522728e+01	4.67373321e+03	5.36546992e+00
234             	1.70114601e+01	4.67337800e+03	5.36542760e+00
235             	1.69727702e+01	4.67303763e+03	5.36505011e+00
236             	1.69382420e+01	4.67264865e+03	5.36435254e+00
237             	1.69080736e+01	4.67232641e+03	5.36335374e+00
238             	1.68802798e+01	4.67203034e+03	5.36207358e+00
239             	1.68461778e+01	4.67165630e+03	5.36052928e+00
240             	1.68256410e+01	4.67133270e+03	5.35874654e+00
241             	1.68030460e+01	4.67102924e+03	5.35688017e+00
242             	1.67788160e+01	4.67076709e+03	5.35485025e+00
243             	1.67633034e+01	4.67046372e+03	5.35262947e+00
244             	1.67526261e+01	4.67014230e+03	5.35024743e+00
245             	1.67412504e+01	4.66988985e+03	5.34773080e+00
246             	1.67283322e+01	4.66966175e+03	5.34510437e+00
247             	1.67239019e+01	4.66936715e+03	5.34239641e+00
248             	1.67196153e+01	4.66911585e+03	5.33963340e+00
249             	1.67188247e+01	4.66891656e+03	5.33684153e+00
250             	1.67203234e+01	4.66865743e+03	5.33404679e+00
251             	1.67233967e+01	4.66842299e+03	5.33127446e+00
252             	1.67298243e+01	4.66821694e+03	5.32854454e+00
253             	1.67356228e+01	4.66796866e+03	5.32587897e+00
254             	1.67441153e+01	4.66777076e+03	5.32329882e+00
255             	1.67549826e+01	4.66758816e+03	5.32081860e+00
256             	1.67649025e+01	4.66736924e+03	5.31845365e+00
257             	1.67786695e+01	4.66717877e+03	5.31621773e+00
258             	1.67901758e+01	4.66700575e+03	5.31412182e+00
259             	1.68029270e+01	4.66678550e+03	5.31217366e+00
260             	1.68184991e+01	4.66663760e+03	5.31037808e+00
261             	1.68338644e+01	4.66649359e+03	5.30874286e+00
262             	1.68470080e+01	4.66628674e+03	5.30726838e+00
