# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
229             	2.81309422e-03	3.59810276e-04	2.63970031e-03	1.03110925e-03	6.27888992e-04
230             	2.87382625e-03	3.49261543e-04	2.57710162e-03	1.01473818e-03	6.16110114e-04
231             	2.89519221e-03	3.39225152e-04	2.52910206e-03	9.94796592e-04	5.98105683e-04
232             	2.67463839e-03	3.29473972e-04	2.49501250e-03	9.74944087e-04	5.79292436e-04
233             	2.78068098e-03	3.19737592e-04	2.43022187e-03	9.55196629e-04	5.67133284e-04
234             	2.87208222e-03	3.11370962e-04	2.38278587e-03	9.32280095e-04	5.48860970e-04
235             	2.62493072e-03	3.02498264e-04	2.33570793e-03	9.10253340e-04	5.30391850e-04
236             	2.56983513e-03	2.94348846e-04	2.29350769e-03	8.87669219e-04	5.15541235e-04
237             	2.39415462e-03	2.87808724e-04	2.24749656e-03	8.63729435e-04	4.99329082e-04
238             	2.31210453e-03	2.80757871e-04	2.18493560e-03	8.39507346e-04	4.82154523e-04
239             	2.30504328e-03	2.74113699e-04	2.12751476e-03	8.15873882e-04	4.67256978e-04
240             	2.23692030e-03	2.67528576e-04	2.07596769e-03	7.92526276e-04	4.54893730e-04
241             	2.32983874e-03	2.62166550e-04	2.01800754e-03	7.68778562e-04	4.41434813e-04
242             	2.14954629e-03	2.56276454e-04	1.97167610e-03	7.44802656e-04	4.25035607e-04
243             	1.97076179e-03	2.50271536e-04	1.91060016e-03	7.21626117e-04	4.11900200e-04
244             	2.06403508e-03	2.44306688e-04	1.84822734e-03	7.01149834e-04	4.04852122e-04
245             	2.26687317e-03	2.38465068e-04	1.78377191e-03	6.78070724e-04	3.91047262e-04
246             	1.90098460e-03	2.31454079e-04	1.70695228e-03	6.56782768e-04	3.77533548e-04
247             	1.91644859e-03	2.24840408e-04	1.64563809e-03	6.37472613e-04	3.70933929e-04
248             	1.92144211e-03	2.17611958e-04	1.57896124e-03	6.16975358e-04	3.58565307e-04
249             	1.64539857e-03	2.10381072e-04	1.51426805e-03	5.98553802e-04	3.47921288e-04
250             	1.77120762e-03	2.02957744e-04	1.45336742e-03	5.82398068e-04	3.42902951e-04
251             	1.80161187e-03	1.95719270e-04	1.39181443e-03	5.65134174e-04	3.32148828e-04
252             	1.51895063e-03	1.88138592e-04	1.33491171e-03	5.50044457e-04	3.22087074e-04
253             	1.61888022e-03	1.80540180e-04	1.28572462e-03	5.37234014e-04	3.16868766e-04
254             	1.65712582e-03	1.73307164e-04	1.23421977e-03	5.23381045e-04	3.05698228e-04
255             	1.37952653e-03	1.65995377e-04	1.19195802e-03	5.11585132e-04	2.94736978e-04
256             	1.45941225e-03	1.58806738e-04	1.15645702e-03	5.01618674e-04	2.87910063e-04
257             	1.42691479e-03	1.52206100e-04	1.11662848e-03	4.90728870e-04	2.76609678e-04
258             	1.21582416e-03	1.45947963e-04	1.09140510e-03	4.81236259e-04	2.64526484e-04
259             	1.32975543e-03	1.39829772e-04	1.05866308e-03	4.73714679e-04	2.59518931e-04
260             	1.49690390e-03	1.34669205e-04	1.03940321e-03	4.63111682e-04	2.47703606e-04
261             	1.21428277e-03	1.29203967e-04	1.00780965e-03	4.53196810e-04	2.34484176e-04
262             	1.28244419e-03	1.24619859e-04	9.91038680e-04	4.43614150e-04	2.29367037e-04
